fecha,cantidad
03/01/2021,0
04/01/2021,0
05/01/2021,0
06/01/2021,0
07/01/2021,0
08/01/2021,0
09/01/2021,0
10/01/2021,0
11/01/2021,0
12/01/2021,0
13/01/2021,0
14/01/2021,0
15/01/2021,0
16/01/2021,0
17/01/2021,0
18/01/2021,0
19/01/2021,0
20/01/2021,0
21/01/2021,0
22/01/2021,0
23/01/2021,1
24/01/2021,0
25/01/2021,0
26/01/2021,0
27/01/2021,1
28/01/2021,3
29/01/2021,1
30/01/2021,4
31/01/2021,0
01/02/2021,4
02/02/2021,0
03/02/2021,0
04/02/2021,0
05/02/2021,0
06/02/2021,4
07/02/2021,3
08/02/2021,0
09/02/2021,1
10/02/2021,1
11/02/2021,0
12/02/2021,0
13/02/2021,1
14/02/2021,2
15/02/2021,0
16/02/2021,0
17/02/2021,0
18/02/2021,0
19/02/2021,2
20/02/2021,4
21/02/2021,0
22/02/2021,0
23/02/2021,1
24/02/2021,0
25/02/2021,7
26/02/2021,20
27/02/2021,6
28/02/2021,3
01/03/2021,1
02/03/2021,1
03/03/2021,0
04/03/2021,8
05/03/2021,1
06/03/2021,1
07/03/2021,5
08/03/2021,16
09/03/2021,8
10/03/2021,5
11/03/2021,4
12/03/2021,0
13/03/2021,0
14/03/2021,0
15/03/2021,0
16/03/2021,2
17/03/2021,3
18/03/2021,2
19/03/2021,5
20/03/2021,0
21/03/2021,0
22/03/2021,2
23/03/2021,3
24/03/2021,3
25/03/2021,0
26/03/2021,9
27/03/2021,11
28/03/2021,9
29/03/2021,0
30/03/2021,3
31/03/2021,1
01/04/2021,1
02/04/2021,24
03/04/2021,2
04/04/2021,2
05/04/2021,5
06/04/2021,5
07/04/2021,5
08/04/2021,3
09/04/2021,7
10/04/2021,6
11/04/2021,28
12/04/2021,13
13/04/2021,1
14/04/2021,8
15/04/2021,0
16/04/2021,7
17/04/2021,8
18/04/2021,10
19/04/2021,11
20/04/2021,12
21/04/2021,4
22/04/2021,36
23/04/2021,17
24/04/2021,11
25/04/2021,24
26/04/2021,10
27/04/2021,9
28/04/2021,11
29/04/2021,17
30/04/2021,15
01/05/2021,8
02/05/2021,18
03/05/2021,15
04/05/2021,5
05/05/2021,21
06/05/2021,11
07/05/2021,5
08/05/2021,4
09/05/2021,18
10/05/2021,18
11/05/2021,15
12/05/2021,22
13/05/2021,6
14/05/2021,6
15/05/2021,7
16/05/2021,5
17/05/2021,12
18/05/2021,9
19/05/2021,6
20/05/2021,6
21/05/2021,18
22/05/2021,30
23/05/2021,5
24/05/2021,4
25/05/2021,5
26/05/2021,9
27/05/2021,7
28/05/2021,6
29/05/2021,8
30/05/2021,12
31/05/2021,0
01/06/2021,18
02/06/2021,15
03/06/2021,14
04/06/2021,13
05/06/2021,13
06/06/2021,3
07/06/2021,14
08/06/2021,29
09/06/2021,11
10/06/2021,14
11/06/2021,16
12/06/2021,12
13/06/2021,8
14/06/2021,9
15/06/2021,9
16/06/2021,3
17/06/2021,6
18/06/2021,15
19/06/2021,21
20/06/2021,4
21/06/2021,4
22/06/2021,17
23/06/2021,1
24/06/2021,2
25/06/2021,4
26/06/2021,5
27/06/2021,4
28/06/2021,4
29/06/2021,4
30/06/2021,8
01/07/2021,14
02/07/2021,11
03/07/2021,13
04/07/2021,8
05/07/2021,11
06/07/2021,19
07/07/2021,19
08/07/2021,10
09/07/2021,4
10/07/2021,9
11/07/2021,6
12/07/2021,11
13/07/2021,12
14/07/2021,6
15/07/2021,13
16/07/2021,5
17/07/2021,7
18/07/2021,1
19/07/2021,6
20/07/2021,2
21/07/2021,4
22/07/2021,6
23/07/2021,2
24/07/2021,3
25/07/2021,2
26/07/2021,5
27/07/2021,3
28/07/2021,1
29/07/2021,0
30/07/2021,0
31/07/2021,1
01/08/2021,2
02/08/2021,1
03/08/2021,1
04/08/2021,5
05/08/2021,3
06/08/2021,3
07/08/2021,3
08/08/2021,0
09/08/2021,1
10/08/2021,4
11/08/2021,0
12/08/2021,1
13/08/2021,0
14/08/2021,1
15/08/2021,1
16/08/2021,1
17/08/2021,1
18/08/2021,0
19/08/2021,0
20/08/2021,0
21/08/2021,2
22/08/2021,0
23/08/2021,2
24/08/2021,0
25/08/2021,10
26/08/2021,7
27/08/2021,9
28/08/2021,1
29/08/2021,20
30/08/2021,9
31/08/2021,10
01/09/2021,9
02/09/2021,14
03/09/2021,3
04/09/2021,2
05/09/2021,9
06/09/2021,5
07/09/2021,4
08/09/2021,1
09/09/2021,8
10/09/2021,6
11/09/2021,0
12/09/2021,12
13/09/2021,7
14/09/2021,5
15/09/2021,2
16/09/2021,9
17/09/2021,5
18/09/2021,7
19/09/2021,0
20/09/2021,0
21/09/2021,0
22/09/2021,0
23/09/2021,1
24/09/2021,1
25/09/2021,2
26/09/2021,6
27/09/2021,2
28/09/2021,4
29/09/2021,2
30/09/2021,1
01/10/2021,2
02/10/2021,0
03/10/2021,0
04/10/2021,1
05/10/2021,3
06/10/2021,0
07/10/2021,2
08/10/2021,0
09/10/2021,0
10/10/2021,0
11/10/2021,2
12/10/2021,4
13/10/2021,5
14/10/2021,0
15/10/2021,2
16/10/2021,3
17/10/2021,1
18/10/2021,2
19/10/2021,1
20/10/2021,2
21/10/2021,3
22/10/2021,1
23/10/2021,3
24/10/2021,0
25/10/2021,3
26/10/2021,4
27/10/2021,4
28/10/2021,0
29/10/2021,0
30/10/2021,2
31/10/2021,1
01/11/2021,5
02/11/2021,2
03/11/2021,3
04/11/2021,0
05/11/2021,5
06/11/2021,3
07/11/2021,4
08/11/2021,2
09/11/2021,6
10/11/2021,2
11/11/2021,1
12/11/2021,3
13/11/2021,1
14/11/2021,3
15/11/2021,4
16/11/2021,4
17/11/2021,3
18/11/2021,4
19/11/2021,1
20/11/2021,1
21/11/2021,5
22/11/2021,11
23/11/2021,11
24/11/2021,2
25/11/2021,0
26/11/2021,2
27/11/2021,0
28/11/2021,0
29/11/2021,6
30/11/2021,5
01/12/2021,0
02/12/2021,0
03/12/2021,0
04/12/2021,0
05/12/2021,0
06/12/2021,0
07/12/2021,0
08/12/2021,0
09/12/2021,0
10/12/2021,0
11/12/2021,0
12/12/2021,0
13/12/2021,0
14/12/2021,0
15/12/2021,0
16/12/2021,0
17/12/2021,0
18/12/2021,0
19/12/2021,0
20/12/2021,0
21/12/2021,0
22/12/2021,0
23/12/2021,0
24/12/2021,0
25/12/2021,0
26/12/2021,0
27/12/2021,0
28/12/2021,0
29/12/2021,0
30/12/2021,0
31/12/2021,0
12/01/2022,1
18/01/2022,1
19/01/2022,3
20/01/2022,3
27/01/2022,1
07/02/2022,2
08/02/2022,3
09/02/2022,2
10/02/2022,0
11/02/2022,12
12/02/2022,14
13/02/2022,2
15/02/2022,30
16/02/2022,15
17/02/2022,0
22/02/2022,0
23/02/2022,0
02/03/2022,0
03/03/2022,12
04/03/2022,7
05/03/2022,16
06/03/2022,5
11/03/2022,4
12/03/2022,16
13/03/2022,10
14/03/2022,4
15/03/2022,2
16/03/2022,6
17/03/2022,2
18/03/2022,0
19/03/2022,0
20/03/2022,1
21/03/2022,2
23/03/2022,35
26/03/2022,36
27/03/2022,13
29/03/2022,26
31/03/2022,14
01/04/2022,5
02/04/2022,0
03/04/2022,4
04/04/2022,1
05/04/2022,5